[ABL] ALGO=gwo ABLATION=nodwt RUN=3 at Wed Jun 10 09:15:28 AM +03 2026
[2026-06-10 09:15:30] [ABL] [INFO] Tek kosu: gwo/nodwt/run_003, seed=26226
[2026-06-10 09:15:30] [ABL] [INFO]   Ablation: DWT KAPALI — ham sinyal direkt BiLSTM (level=1)
[2026-06-10 09:17:24] [RUN_OPTIMIZER] [INFO] [ABLATION] use_dwt=False (DWT kapali, ham sinyal)
[2026-06-10 09:17:24] [RUN_OPTIMIZER] [INFO] ============================================================
[2026-06-10 09:17:24] [RUN_OPTIMIZER] [INFO] OPTIMIZER: GWO
[2026-06-10 09:17:24] [RUN_OPTIMIZER] [INFO] ============================================================
[2026-06-10 09:17:24] [RUN_OPTIMIZER] [INFO] DB: ablation_runs/gwo_nodwt/run_003/gwo_running.db
[2026-06-10 09:17:24] [RUN_OPTIMIZER] [INFO] Seed: 26226
[2026-06-10 09:17:24] [RUN_OPTIMIZER] [INFO] Mode: joint
[2026-06-10 09:17:24] [RUN_OPTIMIZER] [INFO] Pop: 40, MaxIter: 50
[2026-06-10 09:17:24] [OPT.GWO] [INFO] Yeni GWO çalışması başlatıldı | Seed: 26226 | Pop: 40 | MaxIter: 50
[2026-06-10 09:17:24] [OPT.GWO] [INFO] ============================================================
[2026-06-10 09:17:24] [OPT.GWO] [INFO] GWO OPTIMIZASYONU
[2026-06-10 09:17:24] [OPT.GWO] [INFO] ============================================================
[2026-06-10 09:17:24] [OPT.GWO] [INFO] Pop: 40 | MaxIter: 50 | Workers: 35 | Seed: 26226 | Mode: joint
[2026-06-10 09:17:24] [OPT.GWO] [INFO] Algo params: {'a_start': 2.0, 'a_end': 0.0}
[2026-06-10 09:17:24] [OPT.GWO] [INFO] 
[INIT] Popülasyon değerlendiriliyor...
[2026-06-10 09:17:36] [INFO]  i:T-0 | ind 19 (I) | wavelet=coif3 | level=6 | mode=symmetric | look_back=58 | hidden=240 | layers=4 | dropout=0.198 | lr=0.00014 | batch=32 | ablation[dwt=False, bi=True]
[2026-06-10 09:17:36] [INFO]  i:T-0 | ind 20 (I) | wavelet=sym8 | level=3 | mode=zero | look_back=58 | hidden=48 | layers=3 | dropout=0.447 | lr=0.00267 | batch=128 | ablation[dwt=False, bi=True]
[2026-06-10 09:17:36] [INFO]  i:T-0 | ind 21 (I) | wavelet=db7 | level=7 | mode=periodization | look_back=72 | hidden=95 | layers=4 | dropout=0.285 | lr=0.00401 | batch=128 | ablation[dwt=False, bi=True]
[2026-06-10 09:17:36] [INFO]  i:T-0 | ind 22 (I) | wavelet=sym5 | level=3 | mode=zero | look_back=32 | hidden=217 | layers=3 | dropout=0.259 | lr=0.00098 | batch=128 | ablation[dwt=False, bi=True]
[2026-06-10 09:17:36] [INFO]  i:T-0 | ind 23 (I) | wavelet=db4 | level=6 | mode=periodization | look_back=79 | hidden=139 | layers=1 | dropout=0.339 | lr=0.00013 | batch=64 | ablation[dwt=False, bi=True]
[2026-06-10 09:17:36] [INFO]  i:T-0 | ind 24 (I) | wavelet=coif3 | level=3 | mode=symmetric | look_back=90 | hidden=166 | layers=1 | dropout=0.310 | lr=0.00166 | batch=64 | ablation[dwt=False, bi=True]
[2026-06-10 09:17:36] [INFO]  i:T-0 | ind 26 (I) | wavelet=sym6 | level=6 | mode=zero | look_back=45 | hidden=81 | layers=3 | dropout=0.404 | lr=0.00054 | batch=128 | ablation[dwt=False, bi=True]
[2026-06-10 09:17:36] [INFO]  i:T-0 | ind 25 (I) | wavelet=db4 | level=5 | mode=periodization | look_back=24 | hidden=80 | layers=3 | dropout=0.264 | lr=0.00359 | batch=32 | ablation[dwt=False, bi=True]
[2026-06-10 09:17:36] [INFO]  i:T-0 | ind 27 (I) | wavelet=sym5 | level=7 | mode=periodization | look_back=49 | hidden=48 | layers=1 | dropout=0.446 | lr=0.00050 | batch=32 | ablation[dwt=False, bi=True]
[2026-06-10 09:17:36] [INFO]  i:T-0 | ind 28 (I) | wavelet=sym8 | level=5 | mode=symmetric | look_back=69 | hidden=108 | layers=1 | dropout=0.434 | lr=0.00691 | batch=32 | ablation[dwt=False, bi=True]
