[ABL] ALGO=gwo ABLATION=nodwt RUN=10 at Wed Jun 10 09:15:28 AM +03 2026
[2026-06-10 09:15:30] [ABL] [INFO] Tek kosu: gwo/nodwt/run_010, seed=107474
[2026-06-10 09:15:30] [ABL] [INFO]   Ablation: DWT KAPALI — ham sinyal direkt BiLSTM (level=1)
[2026-06-10 09:17:24] [RUN_OPTIMIZER] [INFO] [ABLATION] use_dwt=False (DWT kapali, ham sinyal)
[2026-06-10 09:17:24] [RUN_OPTIMIZER] [INFO] ============================================================
[2026-06-10 09:17:24] [RUN_OPTIMIZER] [INFO] OPTIMIZER: GWO
[2026-06-10 09:17:24] [RUN_OPTIMIZER] [INFO] ============================================================
[2026-06-10 09:17:24] [RUN_OPTIMIZER] [INFO] DB: ablation_runs/gwo_nodwt/run_010/gwo_running.db
[2026-06-10 09:17:24] [RUN_OPTIMIZER] [INFO] Seed: 107474
[2026-06-10 09:17:24] [RUN_OPTIMIZER] [INFO] Mode: joint
[2026-06-10 09:17:24] [RUN_OPTIMIZER] [INFO] Pop: 40, MaxIter: 50
[2026-06-10 09:17:24] [OPT.GWO] [INFO] Yeni GWO çalışması başlatıldı | Seed: 107474 | Pop: 40 | MaxIter: 50
[2026-06-10 09:17:24] [OPT.GWO] [INFO] ============================================================
[2026-06-10 09:17:24] [OPT.GWO] [INFO] GWO OPTIMIZASYONU
[2026-06-10 09:17:24] [OPT.GWO] [INFO] ============================================================
[2026-06-10 09:17:24] [OPT.GWO] [INFO] Pop: 40 | MaxIter: 50 | Workers: 35 | Seed: 107474 | Mode: joint
[2026-06-10 09:17:24] [OPT.GWO] [INFO] Algo params: {'a_start': 2.0, 'a_end': 0.0}
[2026-06-10 09:17:24] [OPT.GWO] [INFO] 
[INIT] Popülasyon değerlendiriliyor...
[2026-06-10 09:17:36] [INFO]  i:T-0 | ind 19 (I) | wavelet=sym6 | level=5 | mode=periodization | look_back=81 | hidden=190 | layers=2 | dropout=0.346 | lr=0.00234 | batch=32 | ablation[dwt=False, bi=True]
[2026-06-10 09:17:36] [INFO]  i:T-0 | ind 20 (I) | wavelet=sym6 | level=6 | mode=symmetric | look_back=45 | hidden=74 | layers=3 | dropout=0.246 | lr=0.00106 | batch=32 | ablation[dwt=False, bi=True]
[2026-06-10 09:17:36] [INFO]  i:T-0 | ind 21 (I) | wavelet=coif4 | level=7 | mode=symmetric | look_back=68 | hidden=63 | layers=4 | dropout=0.176 | lr=0.00488 | batch=128 | ablation[dwt=False, bi=True]
[2026-06-10 09:17:36] [INFO]  i:T-0 | ind 22 (I) | wavelet=db4 | level=5 | mode=zero | look_back=69 | hidden=154 | layers=2 | dropout=0.214 | lr=0.00103 | batch=128 | ablation[dwt=False, bi=True]
[2026-06-10 09:17:36] [INFO]  i:T-0 | ind 23 (I) | wavelet=sym7 | level=6 | mode=periodization | look_back=88 | hidden=128 | layers=4 | dropout=0.494 | lr=0.00296 | batch=128 | ablation[dwt=False, bi=True]
[2026-06-10 09:17:36] [INFO]  i:T-0 | ind 24 (I) | wavelet=coif4 | level=3 | mode=symmetric | look_back=71 | hidden=134 | layers=1 | dropout=0.019 | lr=0.00052 | batch=32 | ablation[dwt=False, bi=True]
[2026-06-10 09:17:36] [INFO]  i:T-0 | ind 25 (I) | wavelet=coif3 | level=6 | mode=symmetric | look_back=78 | hidden=162 | layers=4 | dropout=0.286 | lr=0.00107 | batch=128 | ablation[dwt=False, bi=True]
[2026-06-10 09:17:36] [INFO]  i:T-0 | ind 26 (I) | wavelet=sym6 | level=5 | mode=zero | look_back=90 | hidden=105 | layers=3 | dropout=0.057 | lr=0.00084 | batch=128 | ablation[dwt=False, bi=True]
[2026-06-10 09:17:36] [INFO]  i:T-0 | ind 27 (I) | wavelet=db5 | level=7 | mode=periodization | look_back=61 | hidden=69 | layers=2 | dropout=0.324 | lr=0.00031 | batch=32 | ablation[dwt=False, bi=True]
[2026-06-10 09:17:36] [INFO]  i:T-0 | ind 28 (I) | wavelet=coif3 | level=4 | mode=periodization | look_back=71 | hidden=129 | layers=2 | dropout=0.065 | lr=0.00237 | batch=64 | ablation[dwt=False, bi=True]
