window,dwt_wavelet,dwt_level,dwt_mode,look_back,hidden,layers,dropout,lr,batch,search_rmse,final_rmse
Y2,sym5,5,symmetric,55,135,1,0.08694151900140475,0.004719350548910791,32,0.04259526040037304,0.08252384046542063
Y3,db4,5,symmetric,54,86,4,0.07506429462890812,0.00783003711180744,32,0.04180481275526015,0.08492755075101927
Y4,sym5,5,periodization,53,242,2,0.3443533123165954,0.006034646925561871,64,0.041706825666806946,0.08549770268061598
Y5,db4,5,zero,54,86,1,0.28158944848187545,0.008532124903378997,32,0.03936626956191099,0.0843741093264696
Y6,db4,4,symmetric,91,85,1,0.431590456876322,0.010000000000000004,32,0.03458061630323126,0.07992764274815085
